sku,name,warehouse,region,status,quantity,unit_cost,retail_price,last_ordered,owner,category,notes
SKU-1001,Universal Adapter,SEA-01,us-west,active,48,4.20,9.99,2026-05-12,ops,accessories,"inventory review note: verify stock count, packaging integrity, supplier ETA, barcode accuracy, shelf labels, receiving logs, transfer paperwork, damage reports, dock scheduling, exception routing, warehouse photo evidence, and supervisor signoff before the next weekly shipment cycle; record any discrepancy in the audit trail and notify fulfillment leads immediately if anything is missing or mislabeled"
SKU-1002,Cable Kit,SEA-01,us-west,active,72,1.75,4.99,2026-05-11,ops,accessories,"inventory review note: verify stock count, packaging integrity, supplier ETA, barcode accuracy, shelf labels, receiving logs, transfer paperwork, damage reports, dock scheduling, exception routing, warehouse photo evidence, and supervisor signoff before the next weekly shipment cycle; record any discrepancy in the audit trail and notify fulfillment leads immediately if anything is missing or mislabeled"
SKU-1003,Notebook Pack,DAL-02,us-central,active,110,2.10,5.49,2026-05-10,fulfillment,stationery,"inventory review note: verify stock count, packaging integrity, supplier ETA, barcode accuracy, shelf labels, receiving logs, transfer paperwork, damage reports, dock scheduling, exception routing, warehouse photo evidence, and supervisor signoff before the next weekly shipment cycle; record any discrepancy in the audit trail and notify fulfillment leads immediately if anything is missing or mislabeled"
SKU-1004,Sticker Set,DAL-02,us-central,active,240,0.20,1.99,2026-05-09,fulfillment,merch,"inventory review note: verify stock count, packaging integrity, supplier ETA, barcode accuracy, shelf labels, receiving logs, transfer paperwork, damage reports, dock scheduling, exception routing, warehouse photo evidence, and supervisor signoff before the next weekly shipment cycle; record any discrepancy in the audit trail and notify fulfillment leads immediately if anything is missing or mislabeled"
SKU-1005,Desk Lamp,PHX-03,us-west,active,34,8.80,19.99,2026-05-08,ops,hardware,"inventory review note: verify stock count, packaging integrity, supplier ETA, barcode accuracy, shelf labels, receiving logs, transfer paperwork, damage reports, dock scheduling, exception routing, warehouse photo evidence, and supervisor signoff before the next weekly shipment cycle; record any discrepancy in the audit trail and notify fulfillment leads immediately if anything is missing or mislabeled"
SKU-1006,Wireless Mouse,PHX-03,us-west,active,58,12.40,24.99,2026-05-12,ops,hardware,"inventory review note: verify stock count, packaging integrity, supplier ETA, barcode accuracy, shelf labels, receiving logs, transfer paperwork, damage reports, dock scheduling, exception routing, warehouse photo evidence, and supervisor signoff before the next weekly shipment cycle; record any discrepancy in the audit trail and notify fulfillment leads immediately if anything is missing or mislabeled"
SKU-1007,Keyboard Tray,ATL-04,us-east,active,27,9.10,21.99,2026-05-07,procurement,furniture,"inventory review note: verify stock count, packaging integrity, supplier ETA, barcode accuracy, shelf labels, receiving logs, transfer paperwork, damage reports, dock scheduling, exception routing, warehouse photo evidence, and supervisor signoff before the next weekly shipment cycle; record any discrepancy in the audit trail and notify fulfillment leads immediately if anything is missing or mislabeled"
SKU-1008,Standing Mat,ATL-04,us-east,active,19,14.00,29.99,2026-05-06,procurement,furniture,"inventory review note: verify stock count, packaging integrity, supplier ETA, barcode accuracy, shelf labels, receiving logs, transfer paperwork, damage reports, dock scheduling, exception routing, warehouse photo evidence, and supervisor signoff before the next weekly shipment cycle; record any discrepancy in the audit trail and notify fulfillment leads immediately if anything is missing or mislabeled"
SKU-1009,Cable Label Pack,SEA-01,us-west,active,180,0.60,2.49,2026-05-05,ops,supplies,"inventory review note: verify stock count, packaging integrity, supplier ETA, barcode accuracy, shelf labels, receiving logs, transfer paperwork, damage reports, dock scheduling, exception routing, warehouse photo evidence, and supervisor signoff before the next weekly shipment cycle; record any discrepancy in the audit trail and notify fulfillment leads immediately if anything is missing or mislabeled"
SKU-1010,Monitor Arm,SEA-01,us-west,active,15,26.00,49.99,2026-05-04,ops,hardware,"inventory review note: verify stock count, packaging integrity, supplier ETA, barcode accuracy, shelf labels, receiving logs, transfer paperwork, damage reports, dock scheduling, exception routing, warehouse photo evidence, and supervisor signoff before the next weekly shipment cycle; record any discrepancy in the audit trail and notify fulfillment leads immediately if anything is missing or mislabeled"
